property,fold,srcc,srcc_pval,mae,mse,rmse,r2,n_samples
CH4_HP,0,0.6847697227896098,1.1375337043491989e-237,2.0304527516093964,9.712094829149068,3.116423403382324,0.512602503592556,1715
CH4_HP,1,0.6790688102603886,2.9225972886792264e-232,2.0345153031300525,9.630070413637394,3.1032354750546074,0.5167188652496401,1715
CH4_HP,2,0.6853237445334615,3.338800652557378e-238,1.9687003291556857,9.720845575107115,3.1178270598458657,0.512163350995029,1715
CH4_HP,3,0.6765428390156302,6.6622208157364985e-230,2.0583652390856786,9.82305098692817,3.13417468991889,0.5070342143136856,1715
CH4_HP,4,0.6574500487707055,8.101707253602659e-213,2.0416792310882936,10.290148533229825,3.2078261382484285,0.48359311549304795,1715
CO2_LP,0,0.6273048384031749,2.9836449798176266e-188,0.8137253914775093,1.5308627611725663,1.2372803890681232,0.35199188649696345,1715
CO2_LP,1,0.6384917702653276,4.7776725433360934e-197,0.8123987659809259,1.647093355539132,1.2833913493315794,0.3027919385348582,1715
CO2_LP,2,0.6330400719332585,1.0252994149830032e-192,0.8098577143800915,1.597984922176187,1.2641142836690784,0.32357934291083046,1715
CO2_LP,3,0.610961678701038,4.960410303276313e-176,0.8346656791276622,1.6017047033825886,1.265584727856096,0.3220047743320258,1715
CO2_LP,4,0.639456112860331,8.013842161066152e-198,0.7963835378905144,1.4994233185090764,1.2245094195264798,0.3653000774378353,1715
Df,0,0.5120590555311919,2.8984509197146245e-115,1.2149992873300268,3.659547854547209,1.9129944732139736,0.36115856298349247,1715
Df,1,0.5021268372958985,3.2720885340258176e-110,1.2976927202575061,3.853810549078362,1.9631124647045473,0.32724643398133313,1715
Df,2,0.5373528146722609,6.489636774220803e-129,1.2236292820977748,4.088061647308183,2.021895557962424,0.2863535930720701,1715
Df,3,0.49659891223229485,1.8008930047639413e-107,1.2309199657106538,3.751182663688562,1.936797011482763,0.34516202038333066,1715
Df,4,0.43124652388515583,1.2913792707475272e-78,1.2919491791516629,4.2335924521188115,2.057569549764676,0.2609485123980002,1715
Di,0,0.5850768520306175,4.463818523554322e-158,1.417882944891126,5.4981831881006595,2.3448205023200943,0.5058179970684198,1715
Di,1,0.594762527166642,1.3261939730771452e-164,1.4498194459575953,5.83103670577438,2.4147539638179247,0.4759008021661443,1715
Di,2,0.5376735701054692,4.281372235491307e-129,1.4573597845461208,6.048457490801458,2.4593611956769297,0.45635881250378196,1715
Di,3,0.5687769502701995,1.4123102091605182e-147,1.4812960608012475,5.9899084361291335,2.4474289440408956,0.4616212579549156,1715
Di,4,0.5895696551574311,4.462052255823373e-161,1.4254334458109241,5.9376203099091125,2.4367232731496435,0.4663209651237987,1715
Dif,0,0.6025075986926866,5.508322909914543e-170,1.3758585706049082,5.887431943387874,2.426403087573842,0.44039678721800957,1715
Dif,1,0.5718969058003038,1.533004841995204e-149,1.491590867862757,6.380261895840942,2.525918030309167,0.39355306530328416,1715
Dif,2,0.5721292812813603,1.092421066505374e-149,1.4471926654393055,6.073242738309356,2.464395004521263,0.42273538258395393,1715
Dif,3,0.5865081466805673,5.000655599344507e-159,1.4124891126816197,5.852025182711891,2.41909594326308,0.4437622166988098,1715
Dif,4,0.5652764408226733,2.1331361831064324e-145,1.4689249774109865,6.050996748164075,2.459877384782436,0.4248498745520177,1715
logKH_CO2,0,0.6601409199361995,3.772907310940942e-215,0.5620882708633607,0.7011302097227621,0.8373351836169086,0.38211310880475735,1715
logKH_CO2,1,0.6488373519174465,1.6337554686043208e-205,0.597364945045018,0.6983891762057535,0.8356968207464676,0.38452870672793926,1715
logKH_CO2,2,0.688110826016432,6.717900818244781e-241,0.5522078219464499,0.6169827194766525,0.78548247560124,0.45626999211835717,1715
logKH_CO2,3,0.64636141001454,1.8591982947143026e-203,0.5899947251331702,0.7134292006626664,0.8446473824399543,0.37127434423390704,1715
logKH_CO2,4,0.6440654419738985,1.4419822041067316e-201,0.5728260618691542,0.7197352707834533,0.8483721298955155,0.3657169769880527,1715
