property,srcc,p_value,mae,mse,rmse,r2,n_samples
Di,0.7383963771809988,8.97635046951455e-222,1.4639575961962747,6.0699297363852835,2.4637227393489884,0.4858969301322803,1285
Df,0.5256933741234582,3.253477994645397e-92,1.320702912556986,3.2426336183633033,1.8007314120554745,0.41139737689828304,1285
Dif,0.7096536103653601,2.3324752331106777e-197,1.5850376238618844,6.08141331167743,2.4660521713210835,0.46894167741010406,1285
CH4_HP,0.80368978778643,1.5601221213971988e-291,1.9330916818013915,7.00704206419089,2.647081801567698,0.6638671689356779,1285
CO2_LP,0.46275332392972074,3.5064688188266835e-69,1.0136072640676184,1.8913558641155925,1.3752657430895283,0.17964323822419914,1285
logKH_CO2,0.547296901831617,2.658101082530462e-101,0.700460520422934,0.8690051513132868,0.932204457891769,0.27640200141939186,1285
