property,srcc,p_value,mae,mse,rmse,r2,n_samples,srcc_norm,r2_norm,mae_norm,mse_norm,rmse_norm,overall_score
Di,0.7189375137333635,6.563462640596106e-205,1.4780732459131383,5.359142938364059,2.3149822760367,0.546098232413214,1285,0.7189375137333635,0.546098232413214,0.3795195942644425,0.47270713871049597,0.27385066185425455,0.54818511347034
Df,0.722615102227247,5.506973629541703e-208,1.0579071041211079,2.279087732978068,1.509664775033871,0.5863001572817415,1285,0.722615102227247,0.5863001572817415,0.5559011496821527,0.7757576713901455,0.5264576802334826,0.6216054697303803
Dif,0.7380596771242358,1.8099910984590153e-221,1.6806450645283502,5.832049224206006,2.4149636072218574,0.49071735145489404,1285,0.7380596771242358,0.49071735145489404,0.29448196534280857,0.4261772902904587,0.24248913558316454,0.5077529979739794
CH4_HP,0.6263526449738849,6.011198862365515e-141,2.3821433074279517,10.163503684192081,3.188025044473785,0.5124494422034507,1285,0.6263526449738849,0.5124494422034507,0.0,0.0,0.0,0.37960069572577854
CO2_LP,0.43116361590301294,2.574576380756384e-59,1.0474525459468802,1.9489042897617566,1.3960316220493563,0.15468218197661787,1285,0.43116361590301294,0.15468218197661787,0.560289868925713,0.8082448385596587,0.562101425624219,0.3820452222684479
logKH_CO2,0.5249431487524605,6.550246042344542e-92,0.7125107926631832,0.8741220322734012,0.9349449354231517,0.2721413076638731,1285,0.5249431487524605,0.2721413076638731,0.7008950761100534,0.91399402613166,0.7067322488435867,0.499326510842129
