property,srcc,p_value,mae,mse,rmse,r2,n_samples
Di,0.5908265083098382,9.022930246202236e-122,1.5078449920921475,7.4648502655688045,2.7321878166716145,0.40681829566391337,1285
Df,0.5091184064614039,1.1286354803448304e-85,1.263113336897082,4.639877354956022,2.1540374543995333,0.20292661352442787,1285
Dif,0.5596086863296116,8.733946065217805e-107,1.543449997623607,8.384793098720344,2.89565072111958,0.2928056638166401,1285
CH4_HP,0.6695304495867297,6.896894579999819e-168,2.120403322496303,12.15429130982531,3.4863005191499643,0.47221516774582173,1285
CO2_LP,0.6579474024078676,3.194003051948704e-160,0.8009697398931832,1.3601673006123287,1.1662621063090102,0.378337360740161,1285
logKH_CO2,0.686528410693878,8.675117969980212e-180,0.5564139479039244,0.6460546588345903,0.8037752539327087,0.45329543241154213,1285
