property,srcc,p_value,mae,mse,rmse,r2,n_samples
Di,0.6905582459535997,7.13715847065974e-203,1.39041377382786,5.940607602861313,2.4373361694401767,0.6038178644682473,1428
Df,0.664226300556942,1.9852315929235292e-182,1.176993867930244,4.176738494532887,2.04370704714078,0.5636815521923646,1428
Dif,0.6820933236602662,4.585355848398027e-196,1.4350716015871834,6.070970362242766,2.4639339200235804,0.5828190348663047,1428
CH4_HP,0.8641499092217076,0.0,1.369856111851393,3.508954636547284,1.8732203918779242,0.8373272185039002,1428
CO2_LP,0.8080519295918539,0.0,0.5985037396470847,0.7625054178040511,0.8732155620487138,0.689970810924905,1428
logKH_CO2,0.8172479795049573,0.0,0.4667882671924073,0.4213003635658407,0.6490765467692087,0.6810360700278784,1428
