property,srcc,p_value,mae,mse,rmse,r2,n_samples,srcc_norm,r2_norm,mae_norm,mse_norm,rmse_norm,overall_score
Di,0.6905582459535997,7.13715847065974e-203,1.39041377382786,5.940607602861313,2.4373361694401767,0.6038178644682473,1428,0.6905582459535997,0.6038178644682473,0.031118884737132313,0.021473133881894646,0.010794831130515492,0.44183166505299304
Df,0.664226300556942,1.9852315929235292e-182,1.176993867930244,4.176738494532887,2.04370704714078,0.5636815521923646,1428,0.664226300556942,0.5636815521923646,0.1798361373547539,0.3120146788214765,0.17055119435945698,0.4692479967013535
Dif,0.6820933236602662,4.585355848398027e-196,1.4350716015871834,6.070970362242766,2.4639339200235804,0.5828190348663047,1428,0.6820933236602662,0.5828190348663047,0.0,0.0,0.0,0.4216374528421903
CH4_HP,0.8641499092217076,0.0,1.369856111851393,3.508954636547284,1.8732203918779242,0.8373272185039002,1428,0.8641499092217076,0.8373272185039002,0.0454440668073024,0.42201090975990374,0.23974406267356507,0.5823070648443035
CO2_LP,0.8080519295918539,0.0,0.5985037396470847,0.7625054178040511,0.8732155620487138,0.689970810924905,1428,0.8080519295918539,0.689970810924905,0.582945032857495,0.8744013934664701,0.6456010630186231,0.6936559244580845
logKH_CO2,0.8172479795049573,0.0,0.4667882671924073,0.4213003635658407,0.6490765467692087,0.6810360700278784,1428,0.8172479795049573,0.6810360700278784,0.6747282388724427,0.9306041145932721,0.7365690120606007,0.724337429468426
