property,srcc,p_value,mae,mse,rmse,r2,n_samples,srcc_norm,r2_norm,mae_norm,mse_norm,rmse_norm,overall_score
Di,0.5908265083098382,9.022930246202236e-122,1.5078449920921475,7.4648502655688045,2.7321878166716145,0.40681829566391337,1285,0.5908265083098382,0.40681829566391337,0.2888876488285278,0.3858259543660637,0.2163074291318463,0.42884415093409317
Df,0.5091184064614039,1.1286354803448304e-85,1.263113336897082,4.639877354956022,2.1540374543995333,0.20292661352442787,1285,0.5091184064614039,0.20292661352442787,0.4043051510549196,0.6182519213435975,0.38214234757801824,0.3721167236802505
Dif,0.5596086863296116,8.733946065217805e-107,1.543449997623607,8.384793098720344,2.89565072111958,0.2928056638166401,1285,0.5596086863296116,0.2928056638166401,0.2720960294447483,0.31013722766853313,0.16942021916527084,0.374836793197
CH4_HP,0.6695304495867297,6.896894579999819e-168,2.120403322496303,12.15429130982531,3.4863005191499643,0.47221516774582173,1285,0.6695304495867297,0.47221516774582173,0.0,0.0,0.0,0.38058187244418384
CO2_LP,0.6579474024078676,3.194003051948704e-160,0.8009697398931832,1.3601673006123287,1.1662621063090102,0.378337360740161,1285,0.6579474024078676,0.378337360740161,0.6222559494246502,0.8880915994244112,0.6654728701949739,0.5528469041908929
logKH_CO2,0.686528410693878,8.675117969980212e-180,0.5564139479039244,0.6460546588345903,0.8037752539327087,0.45329543241154213,1285,0.686528410693878,0.45329543241154213,0.7375905130874485,0.9468455508950709,0.7694475133403914,0.6258047853976229
