property,srcc_cgcnn_mean,srcc_cgcnn_std,srcc_transformer_mean,srcc_transformer_std,srcc_pointnet_mean,srcc_pointnet_std,srcc_best_model,srcc_best_value,mae_cgcnn_mean,mae_cgcnn_std,mae_transformer_mean,mae_transformer_std,mae_pointnet_mean,mae_pointnet_std,mae_best_model,mae_best_value,mse_cgcnn_mean,mse_cgcnn_std,mse_transformer_mean,mse_transformer_std,mse_pointnet_mean,mse_pointnet_std,mse_best_model,mse_best_value,r2_cgcnn_mean,r2_cgcnn_std,r2_transformer_mean,r2_transformer_std,r2_pointnet_mean,r2_pointnet_std,r2_best_model,r2_best_value
Di,0.6601082460696444,0.01596755849499656,0.5751719109460719,0.023109609624621944,0.5999936991924825,0.10564642823616387,CGCNN,0.6601082460696444,1.4310991645345883,0.02951163621773793,1.4463583364014028,0.02550663979617579,1.7199122984416284,0.10128459560412746,CGCNN,1.4310991645345883,5.569473606093896,0.2734345310207179,5.861041226142949,0.2180379537793158,7.527657328140347,1.0096387256519537,CGCNN,5.569473606093896,0.49941034560457365,0.02457655912646208,0.4732039669634121,0.01959746138451016,0.3234069057840786,0.09074730153767946,CGCNN,0.49941034560457365
Df,0.6039240424369257,0.011461358579291281,0.4958768287233604,0.03936617262994784,0.27446278309795524,0.18510064169106463,CGCNN,0.6039240424369257,1.154496207167734,0.02407589664617444,1.251838086909525,0.03969240713975281,1.516651236642554,0.07578563565555614,CGCNN,1.154496207167734,3.351281049507347,0.11483359966745413,3.9172390333482254,0.23836027624225006,5.41128144778012,0.23210335104393018,CGCNN,3.351281049507347,0.4149722078772055,0.020046318492100045,0.3161738245636453,0.041610173566398546,0.05536122122159184,0.04051791210572848,CGCNN,0.4149722078772055
Dif,0.660605628530771,0.017879904324013856,0.5796636746555184,0.01493966149252919,0.5357248084026465,0.13740818028990665,CGCNN,0.660605628530771,1.4272155082191045,0.028905008370040987,1.4392112387999154,0.045874468841384616,1.8199450255691485,0.18576838652267377,CGCNN,1.4272155082191045,5.54577835846501,0.28831475249544014,6.048791701682828,0.2093019586758925,8.995996357321888,2.25327268406763,CGCNN,5.54577835846501,0.47287112333259396,0.02740445466551753,0.4250594652712151,0.019894250947246405,0.14492625780816598,0.21417464276496553,CGCNN,0.47287112333259396
CH4_HP,0.8630001665517109,0.007673447045182887,0.6766310330739591,0.011354098350926696,0.5565218804533658,0.10398785635792565,CGCNN,0.8630001665517109,1.324699494188798,0.023948624447121696,2.0267425708138216,0.0341547200057473,2.677320253477152,0.2076250056938517,CGCNN,1.324699494188798,3.285781829604459,0.07892247414360243,9.835242067610315,0.26336083722826126,12.844242829424427,1.937678100787167,CGCNN,3.285781829604459,0.835104386266521,0.003960692001526018,0.5064224099287917,0.01321665562115083,0.3554169405840503,0.0972415809133879,CGCNN,0.835104386266521
CO2_LP,0.7917571787372797,0.007711752534726433,0.629850894432626,0.011623044798913552,0.4171560618994654,0.039224516818461,CGCNN,0.7917571787372797,0.6043856893320712,0.009063731194808787,0.8134062177713407,0.013742680185906627,1.0415613968871837,0.042301011944921904,CGCNN,0.6043856893320712,0.7711053562489806,0.029653050382393197,1.57541381215591,0.05936744515531568,2.0371348266684066,0.09187174478490134,CGCNN,0.7711053562489806,0.6735941719346179,0.012552018198670587,0.33313360394250263,0.025130003233682762,0.13768893629000908,0.038888943889847094,CGCNN,0.6735941719346179
logKH_CO2,0.8025937911253506,0.006563557435675139,0.6575031899717032,0.01819061629426789,0.4837683552775589,0.061828570912011806,CGCNN,0.8025937911253506,0.4642279562467041,0.007426702812097212,0.5748963649714306,0.018814229882655884,0.7127767123095149,0.02869955999095018,CGCNN,0.4642279562467041,0.42001034394962744,0.019101847006820622,0.6899333153702576,0.04170993478467279,0.8990610208759937,0.04065446470772302,CGCNN,0.42001034394962744,0.6298563632060615,0.01683393569334087,0.39198062577460274,0.03675782554890687,0.2076820945947409,0.035827668617209485,CGCNN,0.6298563632060615
